file,vowels,repetation,participant,gender,lang_ability,generation,mean_f1,mean_f2,mean_f3,context
s1-01-a-bar.TextGrid,a,1,participant1,male,bilingual,younger,757.5750687,1371.101213,2693.876308,bar
s1-01-a-bar.TextGrid,a,2,participant1,male,bilingual,younger,786.1756577,1348.787925,2753.438664,bar
s1-01-a-bar.TextGrid,a,3,participant1,male,bilingual,younger,773.3278208,1367.893288,2730.070098,bar
s1-02-a-bat.TextGrid,a,1,participant1,male,bilingual,younger,814.690966,1333.170934,2914.785035,bat
s1-02-a-bat.TextGrid,a,2,participant1,male,bilingual,younger,803.943915,1376.078816,2720.917211,bat
s1-02-a-bat.TextGrid,a,3,participant1,male,bilingual,younger,752.1767651,1310.416832,2612.652617,bat
s1-03-a-dar.TextGrid,a,1,participant1,male,bilingual,younger,827.1727843,1429.901445,2780.657179,dar
s1-03-a-dar.TextGrid,a,2,participant1,male,bilingual,younger,780.5807296,1327.709932,2549.449299,dar
s1-03-a-dar.TextGrid,a,3,participant1,male,bilingual,younger,748.5158237,1338.614969,2764.858836,dar
s1-04-ae-daer1.TextGrid,ae,1,participant1,male,bilingual,younger,678.8244153,1989.575126,2808.04531,daer1
s1-04-ae-daer1.TextGrid,ae,2,participant1,male,bilingual,younger,678.1693855,1980.074595,2790.829375,daer1
s1-04-ae-daer1.TextGrid,ae,3,participant1,male,bilingual,younger,717.6518471,1864.11903,2722.825414,daer1
s1-05-ae-daet.TextGrid,ae,1,participant1,male,bilingual,younger,635.8186113,1936.701155,2805.120762,daet
s1-05-ae-daet.TextGrid,ae,2,participant1,male,bilingual,younger,695.1476388,1880.280934,2800.654008,daet
s1-05-ae-daet.TextGrid,ae,3,participant1,male,bilingual,younger,700.2394257,1946.744401,2775.286304,daet
s1-06-a-dat.TextGrid,a,1,participant1,male,bilingual,younger,808.0948837,1449.452571,2843.202163,dat
s1-06-a-dat.TextGrid,a,2,participant1,male,bilingual,younger,779.2222662,1426.80563,2999.077496,dat
s1-06-a-dat.TextGrid,a,3,participant1,male,bilingual,younger,832.8436589,1405.939911,2917.437473,dat
s1-15-i-sWi.TextGrid,i,1,participant1,male,bilingual,younger,252.5863034,2482.491686,3203.809293,sWi
s1-15-i-sWi.TextGrid,i,2,participant1,male,bilingual,younger,249.1211229,2350.471476,3096.245735,sWi
s1-15-i-sWi.TextGrid,i,3,participant1,male,bilingual,younger,250.2713196,2488.013334,3264.208815,sWi
s1-16-i-si.TextGrid,i,1,participant1,male,bilingual,younger,259.6010606,2472.697516,3140.316973,si
s1-16-i-si.TextGrid,i,2,participant1,male,bilingual,younger,253.6831483,2445.438675,3252.114503,si
s1-16-i-si.TextGrid,i,3,participant1,male,bilingual,younger,254.5677382,2397.106072,3243.018499,si
s1-17-i-siWr.TextGrid,i,1,participant1,male,bilingual,younger,278.4425799,2440.847246,3023.040485,siWr
s1-17-i-siWr.TextGrid,i,2,participant1,male,bilingual,younger,278.2922415,2351.489079,3018.441775,siWr
s1-17-i-siWr.TextGrid,i,3,participant1,male,bilingual,younger,283.5603506,2253.177295,3017.359559,siWr
s1-18-i-sil.TextGrid,i,1,participant1,male,bilingual,younger,293.7730243,2387.27613,3187.456326,sil
s1-18-i-sil.TextGrid,i,2,participant1,male,bilingual,younger,252.1439844,2336.037492,3104.324185,sil
s1-18-i-sil.TextGrid,i,3,participant1,male,bilingual,younger,252.2564274,2367.296088,3099.480897,sil
s1-25-y-yw.TextGrid,u,1,participant1,male,bilingual,younger,373.2741275,1214.815184,2848.152,yw
s1-25-y-yw.TextGrid,u,2,participant1,male,bilingual,younger,392.7162741,1093.890331,2732.556914,yw
s1-25-y-yw.TextGrid,u,3,participant1,male,bilingual,younger,343.0844791,767.6408828,2786.25284,yw
s2-01-a-bar.TextGrid,a,1,participant2,male,monolingual,elder,675.3470578,1361.782987,2598.52164,bar
s2-01-a-bar.TextGrid,a,2,participant2,male,monolingual,elder,722.548323,1404.724848,2633.828139,bar
s2-01-a-bar.TextGrid,a,3,participant2,male,monolingual,elder,699.123743,1392.992135,2580.553121,bar
